ticker,date_t,date_t1,target_market_date,real_label,generated_label,target_direction_label,generated_direction_label,real_signal,generated_signal,actual_direction,actual_return_1d,generated_direction_correct,real_direction_correct,abs_return_1d,volatility_bucket
NVDA,2023-06-07,2023-06-08,2023-06-08,neutral,positive,up,,0,1,1,0.0276184093276705,True,False,0.0276184093276705,high
NVDA,2023-06-08,2023-06-09,2023-06-09,positive,neutral,up,,1,0,1,0.0067515488850355,False,True,0.0067515488850355,low
NVDA,2023-06-09,2023-06-10,2023-06-12,positive,neutral,up,,1,0,1,0.0183646628174662,False,True,0.0183646628174662,high
NVDA,2023-06-12,2023-06-13,2023-06-13,positive,neutral,up,,1,0,1,0.0390051409815817,False,True,0.0390051409815817,high
NVDA,2023-06-13,2023-06-14,2023-06-14,neutral,neutral,up,,0,0,1,0.0481449544067322,False,False,0.0481449544067322,high
NVDA,2023-06-14,2023-06-15,2023-06-15,negative,negative,down,,-1,-1,-1,-0.008000599037955,True,True,0.008000599037955,low
NVDA,2023-06-15,2023-06-16,2023-06-16,neutral,negative,flat,,0,-1,1,0.0009143897253502,False,False,0.0009143897253502,low
NVDA,2023-06-16,2023-06-17,2023-06-20,neutral,negative,up,,0,-1,1,0.0261406652148443,False,False,0.0261406652148443,high
NVDA,2023-06-20,2023-06-21,2023-06-21,neutral,neutral,down,,0,0,-1,-0.0174169218331864,False,False,0.0174169218331864,high
NVDA,2023-06-21,2023-06-22,2023-06-22,positive,positive,flat,,1,1,-1,-0.0004645520714839,False,False,0.0004645520714839,low
NVDA,2023-06-22,2023-06-23,2023-06-23,negative,neutral,down,,-1,0,-1,-0.0189657609099451,False,True,0.0189657609099451,high
NVDA,2023-06-23,2023-06-24,2023-06-26,neutral,neutral,down,,0,0,-1,-0.0373616924823829,False,False,0.0373616924823829,high
NVDA,2023-06-26,2023-06-27,2023-06-27,positive,neutral,up,,1,0,1,0.0306162502986686,False,True,0.0306162502986686,high
NVDA,2023-06-27,2023-06-28,2023-06-28,neutral,neutral,down,,0,0,-1,-0.0181249135735486,False,False,0.0181249135735486,high
NVDA,2023-06-28,2023-06-29,2023-06-29,neutral,positive,down,,0,1,-1,-0.0071746960985102,False,False,0.0071746960985102,low
NVDA,2023-06-29,2023-06-30,2023-06-30,neutral,positive,up,,0,1,1,0.0362549505935854,True,False,0.0362549505935854,high
NVDA,2023-06-30,2023-07-01,2023-07-03,positive,negative,up,,1,-1,1,0.0026239909678007,False,True,0.0026239909678007,low
NVDA,2023-07-03,2023-07-04,2023-07-05,neutral,neutral,down,,0,0,-1,-0.0022633829430778,False,False,0.0022633829430778,low
NVDA,2023-07-05,2023-07-06,2023-07-06,neutral,negative,down,,0,-1,-1,-0.0050570856892921,True,False,0.0050570856892921,low
NVDA,2023-07-06,2023-07-07,2023-07-07,neutral,negative,up,,0,-1,1,0.0095004561454787,False,False,0.0095004561454787,low
NVDA,2023-07-07,2023-07-08,2023-07-10,neutral,negative,down,,0,-1,-1,-0.0075994179092876,True,False,0.0075994179092876,low
NVDA,2023-07-10,2023-07-11,2023-07-11,negative,negative,up,,-1,-1,1,0.0053342454360647,False,False,0.0053342454360647,low
NVDA,2023-07-11,2023-07-12,2023-07-12,neutral,negative,up,,0,-1,1,0.0353024806283002,False,False,0.0353024806283002,high
NVDA,2023-07-12,2023-07-13,2023-07-13,positive,positive,up,,1,1,1,0.0472643784507751,True,True,0.0472643784507751,high
NVDA,2023-07-13,2023-07-14,2023-07-14,positive,negative,down,,1,-1,-1,-0.0110489898648382,True,False,0.0110489898648382,low
NVDA,2023-07-14,2023-07-15,2023-07-17,neutral,neutral,up,,0,0,1,0.0218169901805673,False,False,0.0218169901805673,high
NVDA,2023-07-17,2023-07-18,2023-07-18,positive,neutral,up,,1,0,1,0.0222337224470814,False,True,0.0222337224470814,high
NVDA,2023-07-18,2023-07-19,2023-07-19,neutral,neutral,down,,0,0,-1,-0.00878005266875,False,False,0.00878005266875,low
NVDA,2023-07-19,2023-07-20,2023-07-20,neutral,neutral,down,,0,0,-1,-0.0330734587515243,False,False,0.0330734587515243,high
NVDA,2023-07-20,2023-07-21,2023-07-21,neutral,neutral,down,,0,0,-1,-0.0266037420403183,False,False,0.0266037420403183,high
NVDA,2023-07-21,2023-07-22,2023-07-24,neutral,negative,up,,0,-1,1,0.0068383718149227,False,False,0.0068383718149227,low
NVDA,2023-07-24,2023-07-25,2023-07-25,neutral,neutral,up,,0,0,1,0.0239173620203496,False,False,0.0239173620203496,high
NVDA,2023-07-25,2023-07-26,2023-07-26,neutral,neutral,down,,0,0,-1,-0.0049694867650158,False,False,0.0049694867650158,low
NVDA,2023-07-26,2023-07-27,2023-07-27,positive,neutral,up,,1,0,1,0.009856592996591,False,True,0.009856592996591,low
NVDA,2023-07-27,2023-07-28,2023-07-28,positive,neutral,up,,1,0,1,0.0185184846593491,False,True,0.0185184846593491,high
NVDA,2023-07-28,2023-07-29,2023-07-31,neutral,negative,flat,,0,-1,-1,-0.0004491959026152,True,False,0.0004491959026152,low
NVDA,2023-07-31,2023-08-01,2023-08-01,positive,neutral,down,,1,0,-1,-0.0047507997525169,False,False,0.0047507997525169,low
NVDA,2023-08-01,2023-08-02,2023-08-02,negative,neutral,down,,-1,0,-1,-0.0481217658389253,False,True,0.0481217658389253,high
NVDA,2023-08-02,2023-08-03,2023-08-03,positive,neutral,up,,1,0,1,0.0055568993420251,False,True,0.0055568993420251,low
NVDA,2023-08-03,2023-08-04,2023-08-04,neutral,neutral,up,,0,0,1,0.0037066363650386,False,False,0.0037066363650386,low
NVDA,2023-08-04,2023-08-05,2023-08-07,negative,neutral,up,,-1,0,1,0.0164950650556146,False,False,0.0164950650556146,high
NVDA,2023-08-07,2023-08-08,2023-08-08,neutral,neutral,down,,0,0,-1,-0.0165796586099171,False,False,0.0165796586099171,high
NVDA,2023-08-08,2023-08-09,2023-08-09,negative,neutral,down,,-1,0,-1,-0.0472416384817737,False,True,0.0472416384817737,high
NVDA,2023-08-09,2023-08-10,2023-08-10,neutral,negative,down,,0,-1,-1,-0.0039009344098702,True,False,0.0039009344098702,low
NVDA,2023-08-10,2023-08-11,2023-08-11,negative,neutral,down,,-1,0,-1,-0.036165917910394,False,True,0.036165917910394,high
NVDA,2023-08-11,2023-08-12,2023-08-14,neutral,neutral,up,,0,0,1,0.0709337618965941,False,False,0.0709337618965941,high
NVDA,2023-08-14,2023-08-15,2023-08-15,negative,positive,up,,-1,1,1,0.0042739990789553,True,False,0.0042739990789553,low
NVDA,2023-08-15,2023-08-16,2023-08-16,negative,neutral,down,,-1,0,-1,-0.0103322389591032,False,True,0.0103322389591032,low
NVDA,2023-08-16,2023-08-17,2023-08-17,neutral,neutral,down,,0,0,-1,-0.003265379451233,False,False,0.003265379451233,low
NVDA,2023-08-17,2023-08-18,2023-08-18,positive,neutral,down,,1,0,-1,-0.0010382517027697,False,False,0.0010382517027697,low
NVDA,2023-08-18,2023-08-19,2023-08-21,neutral,neutral,up,,0,0,1,0.0847132563263546,False,False,0.0847132563263546,high
NVDA,2023-08-21,2023-08-22,2023-08-22,negative,neutral,down,,-1,0,-1,-0.0276577131292693,False,True,0.0276577131292693,high
NVDA,2023-08-22,2023-08-23,2023-08-23,positive,positive,up,,1,1,1,0.0317071447139194,True,True,0.0317071447139194,high
NVDA,2023-08-23,2023-08-24,2023-08-24,neutral,neutral,flat,,0,0,1,0.0009974757871253,False,False,0.0009974757871253,low
NVDA,2023-08-24,2023-08-25,2023-08-25,neutral,neutral,down,,0,0,-1,-0.024277435421386,False,False,0.024277435421386,high
NVDA,2023-08-25,2023-08-26,2023-08-28,neutral,neutral,up,,0,0,1,0.0177538680612827,False,False,0.0177538680612827,high
NVDA,2023-08-28,2023-08-29,2023-08-29,positive,neutral,up,,1,0,1,0.0416142062635807,False,True,0.0416142062635807,high
NVDA,2023-08-29,2023-08-30,2023-08-30,negative,positive,up,,-1,1,1,0.0098392821075108,True,False,0.0098392821075108,low
NVDA,2023-08-30,2023-08-31,2023-08-31,neutral,neutral,up,,0,0,1,0.0018471825954902,False,False,0.0018471825954902,low
NVDA,2023-08-31,2023-09-01,2023-09-01,positive,negative,down,,1,-1,-1,-0.0171411342160532,True,False,0.0171411342160532,high
NVDA,2023-09-01,2023-09-02,2023-09-05,neutral,negative,flat,,0,-1,1,0.0008040047362674,False,False,0.0008040047362674,low
NVDA,2023-09-05,2023-09-06,2023-09-06,neutral,neutral,down,,0,0,-1,-0.0306294698326736,False,False,0.0306294698326736,high
NVDA,2023-09-06,2023-09-07,2023-09-07,negative,positive,down,,-1,1,-1,-0.0174241873412619,False,True,0.0174241873412619,high
