ticker,date_t,date_t1,target_market_date,real_label,generated_label,target_direction_label,generated_direction_label,real_signal,generated_signal,actual_direction,actual_return_1d,generated_direction_correct,real_direction_correct,abs_return_1d,volatility_bucket
AMD,2023-04-18,2023-04-19,2023-04-19,negative,positive,,up,-1,1,1,0.0017821749196356,True,False,0.0017821749196356,low
NVDA,2023-04-18,2023-04-19,2023-04-19,positive,negative,,up,1,1,1,0.0095420515672839,True,True,0.0095420515672839,low
AMD,2023-04-19,2023-04-20,2023-04-20,neutral,positive,,up,0,1,1,0.0018901285782826,True,False,0.0018901285782826,low
NVDA,2023-04-19,2023-04-20,2023-04-20,neutral,negative,,up,0,1,-1,-0.0296086667693716,False,False,0.0296086667693716,high
AMD,2023-04-20,2023-04-21,2023-04-21,neutral,neutral,,up,0,1,-1,-0.0186438829630058,False,False,0.0186438829630058,high
NVDA,2023-04-20,2023-04-21,2023-04-21,neutral,neutral,,up,0,1,1,0.0005534013281349,True,False,0.0005534013281349,low
NVDA,2023-04-21,2023-04-22,2023-04-24,neutral,neutral,,up,0,1,-1,-0.0028393254094796,False,False,0.0028393254094796,low
AMD,2023-04-24,2023-04-25,2023-04-25,neutral,positive,,up,0,1,-1,-0.0430512350828434,False,False,0.0430512350828434,high
NVDA,2023-04-24,2023-04-25,2023-04-25,neutral,neutral,,up,0,1,-1,-0.0296206123998398,False,False,0.0296206123998398,high
AMD,2023-04-25,2023-04-26,2023-04-26,neutral,neutral,,up,0,1,1,0.0255369846266795,True,False,0.0255369846266795,high
NVDA,2023-04-25,2023-04-26,2023-04-26,negative,neutral,,up,-1,1,1,0.0272474438394803,True,False,0.0272474438394803,high
AMD,2023-04-26,2023-04-27,2023-04-27,neutral,negative,,up,0,1,1,0.0174540372048825,True,False,0.0174540372048825,high
NVDA,2023-04-26,2023-04-27,2023-04-27,positive,neutral,,up,1,1,1,0.0100163401109214,True,True,0.0100163401109214,low
AMD,2023-04-27,2023-04-28,2023-04-28,neutral,neutral,,up,0,1,1,0.0220722810074152,True,False,0.0220722810074152,high
NVDA,2023-04-27,2023-04-28,2023-04-28,positive,positive,,up,1,1,1,0.0192096055383588,True,True,0.0192096055383588,high
NVDA,2023-04-28,2023-04-29,2023-05-01,positive,negative,,up,1,1,1,0.0418393194389952,True,True,0.0418393194389952,high
AMD,2023-05-01,2023-05-02,2023-05-02,negative,neutral,,up,-1,1,1,0.00245290684262,True,False,0.00245290684262,low
NVDA,2023-05-01,2023-05-02,2023-05-02,neutral,negative,,up,0,1,-1,-0.0242131015784876,False,False,0.0242131015784876,high
AMD,2023-05-02,2023-05-03,2023-05-03,negative,neutral,,up,-1,1,-1,-0.0922033208527272,False,True,0.0922033208527272,high
NVDA,2023-05-02,2023-05-03,2023-05-03,positive,negative,,up,1,1,-1,-0.0144629227911198,False,False,0.0144629227911198,low
AMD,2023-05-03,2023-05-04,2023-05-04,positive,negative,,up,1,1,1,0.0611369480011259,True,True,0.0611369480011259,high
NVDA,2023-05-03,2023-05-04,2023-05-04,positive,negative,,up,1,1,-1,-0.0086324642372132,False,False,0.0086324642372132,low
AMD,2023-05-04,2023-05-05,2023-05-05,neutral,negative,,up,0,1,1,0.0372935654633053,True,False,0.0372935654633053,high
NVDA,2023-05-04,2023-05-05,2023-05-05,neutral,positive,,up,0,1,1,0.0405630948181043,True,False,0.0405630948181043,high
AMD,2023-05-05,2023-05-06,2023-05-08,negative,negative,,up,-1,1,1,0.0578807300712631,True,False,0.0578807300712631,high
AMD,2023-05-08,2023-05-09,2023-05-09,neutral,negative,,up,0,1,1,0.0002104023871398,True,False,0.0002104023871398,low
NVDA,2023-05-08,2023-05-09,2023-05-09,neutral,neutral,,up,0,1,-1,-0.0198963995137507,False,False,0.0198963995137507,high
AMD,2023-05-09,2023-05-10,2023-05-10,negative,negative,,up,-1,1,1,0.0206185475995257,True,False,0.0206185475995257,high
NVDA,2023-05-09,2023-05-10,2023-05-10,neutral,negative,,up,0,1,1,0.0109902030998239,True,False,0.0109902030998239,low
AMD,2023-05-10,2023-05-11,2023-05-11,neutral,negative,,up,0,1,1,0.000824591154636,True,False,0.000824591154636,low
NVDA,2023-05-10,2023-05-11,2023-05-11,neutral,neutral,,up,0,1,-1,-0.010628392295619,False,False,0.010628392295619,low
AMD,2023-05-11,2023-05-12,2023-05-12,neutral,negative,,up,0,1,-1,-0.0189494991432056,False,False,0.0189494991432056,high
NVDA,2023-05-11,2023-05-12,2023-05-12,positive,negative,,up,1,1,-1,-0.0083280484908933,False,False,0.0083280484908933,low
NVDA,2023-05-12,2023-05-13,2023-05-15,neutral,positive,,up,0,1,1,0.0216301679287875,True,False,0.0216301679287875,high
AMD,2023-05-15,2023-05-16,2023-05-16,neutral,neutral,,up,0,1,1,0.0418891351862109,True,False,0.0418891351862109,high
NVDA,2023-05-15,2023-05-16,2023-05-16,neutral,positive,,up,0,1,1,0.0089800793295786,True,False,0.0089800793295786,low
AMD,2023-05-16,2023-05-17,2023-05-17,neutral,negative,,up,0,1,1,0.0223689058728366,True,False,0.0223689058728366,high
NVDA,2023-05-16,2023-05-17,2023-05-17,neutral,neutral,,up,0,1,1,0.0330332445918573,True,False,0.0330332445918573,high
AMD,2023-05-17,2023-05-18,2023-05-18,neutral,neutral,,up,0,1,1,0.0402891595679593,True,False,0.0402891595679593,high
NVDA,2023-05-17,2023-05-18,2023-05-18,positive,neutral,,up,1,1,1,0.049705084002535,True,True,0.049705084002535,high
AMD,2023-05-18,2023-05-19,2023-05-19,neutral,neutral,,up,0,1,-1,-0.0195497137439587,False,False,0.0195497137439587,high
