ticker,date_t,date_t1,real_negative,real_neutral,real_positive,generated_negative,generated_neutral,generated_positive,real_label,generated_label,sentiment_match,target_sentiment_label,structured_generated_label,structured_sentiment_match,target_direction_label,generated_direction_label,real_net_sentiment,generated_net_sentiment,kl_divergence
AMD,2023-04-18,2023-04-19,0.9727377762840855,0.019077068636039748,0.008185155079874763,0.018767469190581716,0.05643419344527106,0.9247983373641472,negative,positive,False,,negative,False,,up,-0.9645526212042108,0.9060308681735655,3.780974495469874
NVDA,2023-04-18,2023-04-19,0.03595747533313857,0.04755224056697609,0.9164902840998853,0.9733588704591234,0.01648106241270999,0.01016006712816662,positive,negative,False,,negative,False,,up,0.8805328087667468,-0.9631988033309568,4.057902911482673
AMD,2023-04-19,2023-04-20,0.0183814174823991,0.9370759478612225,0.04454263465637843,0.04695640929367106,0.20096647964007944,0.7520771110662495,neutral,positive,False,,negative,False,,up,0.026161217173979328,0.7051207017725785,1.2996121847826287
NVDA,2023-04-19,2023-04-20,0.009264266687856616,0.8860957571140676,0.10463997619807573,0.9251115718438591,0.018560546314143698,0.05632788184199721,neutral,negative,False,,negative,False,,up,0.09537570951021912,-0.8687836900018618,3.4476142762168007
AMD,2023-04-20,2023-04-21,0.01094976051226615,0.8943405614146507,0.0947096780730832,0.041642273931907975,0.9385185066886524,0.01983921937943959,neutral,neutral,True,,negative,False,,up,0.08375991756081705,-0.021803054552468386,0.09029781388455349
NVDA,2023-04-20,2023-04-21,0.011603989052891405,0.8755785487764641,0.11281746217064446,0.23284067560494953,0.709264587003955,0.05789473739109542,neutral,neutral,True,,negative,False,,up,0.10121347311775306,-0.17494593821385412,0.22491121149733267
NVDA,2023-04-21,2023-04-22,0.031039595186691506,0.7215338089286261,0.2474265958846824,0.033983978497384174,0.9428559735948571,0.023160047907758795,neutral,neutral,True,,negative,False,,up,0.2163870006979909,-0.010823930589625379,0.39022769992782
AMD,2023-04-24,2023-04-25,0.028832488836068246,0.9147108537968566,0.056456657367075135,0.02104894683572614,0.03684158762430031,0.9421094655399735,neutral,positive,False,,negative,False,,up,0.02762416853100689,0.9210605187042474,2.7882001881640317
NVDA,2023-04-24,2023-04-25,0.007948441801054487,0.8165840886805248,0.17546746951842074,0.05395120885477535,0.928553544117503,0.01749524702772165,neutral,neutral,True,,negative,False,,up,0.16751902771736626,-0.0364559618270537,0.2843928950684696
AMD,2023-04-25,2023-04-26,0.024914515108729288,0.8179109966799578,0.15717448821131286,0.05842701302150627,0.6238282872451224,0.31774469973337127,neutral,neutral,True,,negative,False,,up,0.13225997310258358,0.259317686711865,0.08968525855267709
NVDA,2023-04-25,2023-04-26,0.9006761656885175,0.08315183735028364,0.016171996961198833,0.024224215892849343,0.935012212628385,0.04076357147876573,negative,neutral,False,,negative,False,,up,-0.8845041687273186,0.016539355585916383,3.040489021364974
AMD,2023-04-26,2023-04-27,0.020823399381609292,0.9511293272830151,0.028047273335375537,0.9736706541950206,0.019965628013270884,0.006363717791708426,neutral,negative,False,,negative,False,,up,0.007223873953766245,-0.9673069364033122,3.636355306594779
NVDA,2023-04-26,2023-04-27,0.018401478102852788,0.04249590032720232,0.939102621569945,0.31647417538751244,0.6467718006441705,0.03675402396831706,positive,neutral,False,,negative,False,,up,0.9207011434670922,-0.2797201514191954,2.8752808487299784
AMD,2023-04-27,2023-04-28,0.011609006456863014,0.9046960304547841,0.08369496308835292,0.014964973916382828,0.8324479066241957,0.15258711945942147,neutral,neutral,True,,negative,False,,up,0.07208595663148991,0.13762214554303864,0.022084893384541247
NVDA,2023-04-27,2023-04-28,0.04676808604382443,0.04178264984099271,0.9114492641151829,0.01930715852776247,0.05906772130974156,0.921625120162496,positive,positive,True,,negative,False,,up,0.8646811780713585,0.9023179616347335,0.01679213238553396
NVDA,2023-04-28,2023-04-29,0.021798602830644644,0.04006924778094054,0.9381321493884148,0.5763136438289068,0.3964482447208885,0.027238111450204643,positive,negative,False,,negative,False,,up,0.9163335465577702,-0.5490755323787022,3.157084055186186
